"id","created_at","survey_slug","survey_version","session_id","answers","meta"
"39","2026-03-10 19:48:01.025197+00","bravito","1","0e80fa5d-248e-4a02-a4a8-062e1ad4184f","{""persona"":""multipotencial""}","{""completedAt"":""2026-03-10T19:48:00.604Z""}"
"40","2026-03-11 14:26:18.831391+00","bravito","1","f9688640-22cc-469b-9a6f-3b7bd49beb8c","{""persona"":""determinado""}","{""completedAt"":""2026-03-11T14:26:19.110Z""}"
"41","2026-03-11 14:46:01.378084+00","bravito","1","cec439d6-1461-48a2-acaf-a78bedfac863","{""persona"":""buscador""}","{""completedAt"":""2026-03-11T14:46:00.751Z""}"
"42","2026-03-16 18:41:48.379796+00","bravito","1","cec439d6-1461-48a2-acaf-a78bedfac863","{""persona"":""multipotencial""}","{""completedAt"":""2026-03-16T18:41:48.066Z""}"
"43","2026-03-16 20:36:25.540477+00","bravito","1","97758595-34dd-4457-bd70-9cae6bd5eda9","{""persona"":""buscador""}","{""completedAt"":""2026-03-16T20:36:25.309Z""}"
"44","2026-03-16 20:41:46.507058+00","bravito","1","ce567ed8-1433-4a53-9280-795d703ab2c7","{""persona"":""analitico""}","{""completedAt"":""2026-03-16T20:41:46.315Z""}"
"45","2026-03-17 16:35:21.6514+00","bravito","1","2dd15053-b21c-4a49-ad58-f3d6bd450cc7","{""persona"":""enfocado""}","{""completedAt"":""2026-03-17T16:35:21.506Z""}"
"46","2026-03-19 16:47:11.557889+00","bravito","1","de3e2be7-de47-4e76-9684-8024235b33c4","{""persona"":""multipotencial""}","{""completedAt"":""2026-03-19T16:47:10.962Z""}"
"47","2026-03-19 17:27:51.75067+00","bravito","1","57739248-0735-4c06-b00a-ce25ecc10410","{""persona"":""analitico""}","{""completedAt"":""2026-03-19T17:27:51.457Z""}"
"48","2026-03-19 17:27:51.84163+00","bravito","1","a9b5924b-d5b1-449e-847c-1d38f19c0562","{""persona"":""analitico""}","{""completedAt"":""2026-03-19T17:27:51.577Z""}"
"49","2026-03-19 17:32:09.66532+00","bravito","1","75bf7fbc-e750-4da0-bb18-29793b2a7366","{""persona"":""buscador""}","{""completedAt"":""2026-03-19T17:32:09.433Z""}"
"50","2026-03-19 17:41:43.460839+00","bravito","1","661641b2-c92e-4131-a667-3aba63e22b7b","{""persona"":""buscador""}","{""completedAt"":""2026-03-19T17:41:43.153Z""}"
"51","2026-03-19 17:45:49.411294+00","bravito","1","80662cac-aaa3-484c-a637-ceccc578d4e5","{""persona"":""determinado""}","{""completedAt"":""2026-03-19T17:45:48.960Z""}"
"52","2026-03-19 19:36:30.355732+00","bravito","1","cec439d6-1461-48a2-acaf-a78bedfac863","{""persona"":""buscador""}","{""completedAt"":""2026-03-19T19:36:30.034Z""}"
"53","2026-03-19 19:40:31.312672+00","bravito","1","92568f05-7a72-4088-989a-ced36d80962e","{""persona"":""multipotencial""}","{""completedAt"":""2026-03-19T19:40:31.810Z""}"
"54","2026-03-19 22:59:37.817469+00","bravito","1","de8f026e-2510-46f5-8f63-66fb4595a7cd","{""persona"":""analitico""}","{""completedAt"":""2026-03-19T22:59:37.625Z""}"
"55","2026-03-19 23:50:56.039335+00","bravito","1","47e3e087-bd13-4955-b7a7-af9d36671184","{""persona"":""estratega""}","{""completedAt"":""2026-03-19T23:50:55.884Z""}"
"56","2026-03-20 01:01:55.301684+00","bravito","1","47e3e087-bd13-4955-b7a7-af9d36671184","{""persona"":""estratega""}","{""completedAt"":""2026-03-20T01:01:55.328Z""}"
"57","2026-03-20 10:42:28.823714+00","bravito","1","80662cac-aaa3-484c-a637-ceccc578d4e5","{""persona"":""determinado""}","{""completedAt"":""2026-03-20T10:42:28.599Z""}"
"58","2026-03-20 15:25:11.492491+00","bravito","1","97758595-34dd-4457-bd70-9cae6bd5eda9","{""persona"":""buscador""}","{""completedAt"":""2026-03-20T15:25:11.172Z""}"
"59","2026-03-20 17:07:29.423047+00","bravito","1","80662cac-aaa3-484c-a637-ceccc578d4e5","{""persona"":""determinado""}","{""completedAt"":""2026-03-20T17:07:29.187Z""}"
"60","2026-03-20 18:42:37.358464+00","bravito","1","80662cac-aaa3-484c-a637-ceccc578d4e5","{""persona"":""determinado""}","{""completedAt"":""2026-03-20T18:42:37.209Z""}"
"61","2026-03-20 20:15:25.012727+00","bravito","1","697a08e0-4dc6-45db-89c0-31e21c8a86e5","{""persona"":""estratega""}","{""completedAt"":""2026-03-20T20:15:24.548Z""}"
"62","2026-03-21 02:29:21.789442+00","bravito","1","4cbd2962-9f59-45ff-a176-f1c245f2ab19","{""persona"":""buscador""}","{""completedAt"":""2026-03-21T02:29:19.978Z""}"
"63","2026-03-21 02:59:11.719858+00","bravito","1","4cbd2962-9f59-45ff-a176-f1c245f2ab19","{""persona"":""buscador""}","{""completedAt"":""2026-03-21T02:59:09.926Z""}"
"64","2026-03-21 03:02:20.782273+00","bravito","1","4cbd2962-9f59-45ff-a176-f1c245f2ab19","{""persona"":""buscador""}","{""completedAt"":""2026-03-21T03:02:19.018Z""}"
"65","2026-03-22 01:03:28.955307+00","bravito","1","4985abde-0074-484e-9884-39e322d23f6b","{""persona"":""determinado""}","{""completedAt"":""2026-03-22T01:03:27.976Z""}"
"66","2026-03-22 01:13:16.561421+00","bravito","1","4cbd2962-9f59-45ff-a176-f1c245f2ab19","{""persona"":""buscador""}","{""completedAt"":""2026-03-22T01:13:13.282Z""}"
"67","2026-03-22 19:12:22.796156+00","bravito","1","4cbd2962-9f59-45ff-a176-f1c245f2ab19","{""persona"":""buscador""}","{""completedAt"":""2026-03-22T19:12:21.984Z""}"
"68","2026-03-22 23:17:33.624206+00","bravito","1","4cbd2962-9f59-45ff-a176-f1c245f2ab19","{""persona"":""buscador""}","{""completedAt"":""2026-03-22T23:17:32.827Z""}"
"69","2026-03-24 20:49:59.083023+00","bravito","1","97758595-34dd-4457-bd70-9cae6bd5eda9","{""persona"":""buscador""}","{""completedAt"":""2026-03-24T20:49:58.697Z""}"
